,Unnamed: 0,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
26,26,Cambodge,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",199 €,7h 25m,07:55,14:20,1 escale,Plusieurs compagnies
27,27,Cambodge,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",174 €,8h 40m,15:30,23:10,1 escale,Plusieurs compagnies
28,28,Cambodge,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",289 €,5h 25m,14:50,19:15,1 escale,Plusieurs compagnies
29,29,Cambodge,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",165 €,9h 35m,12:20,20:55,2 escales,TAP Air Portugal
30,30,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",459 €,13h 25m,22:40,13:05,1 escale,Ethiopian Airlines
31,31,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",491 €,14h 15m,17:40,08:55,1 escale,Air France
32,32,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",491 €,15h 10m,16:45,08:55,1 escale,Air France
33,33,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",564 €,13h 15m,20:05,10:20,1 escale,Swiss
34,34,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",496 €,15h 10m,06:00,22:10,1 escale,KLM
35,35,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",560 €,13h 55m,18:40,09:35,1 escale,Lufthansa
