VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
Moldavie,28/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",589 €,15h 30m,19:45,19:15,1 escale,LOT Polish Airlines
Moldavie,28/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",695 €,19h 45m,15:30,19:15,2 escales,Plusieurs compagnies
Moldavie,28/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",798 €,17h 35m,11:20,12:55,1 escale,Eva Air
Moldavie,28/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",742 €,19h 20m,12:15,15:35,1 escale,Cathay Pacific
Moldavie,28/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",850 €,16h 55m,12:15,13:10,1 escale,Cathay Pacific
Moldavie,28/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",589 €,24h 25m,10:50,19:15,1 escale,LOT Polish Airlines
Moldavie,28/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",665 €,22h 0m,07:30,13:30,2 escales,China Airlines
Moldavie,28/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",691 €,22h 55m,12:20,19:15,2 escales,Plusieurs compagnies
Moldavie,28/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",667 €,24h 5m,13:15,21:20,3 escales,Plusieurs compagnies
Moldavie,28/02/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport international de Narita, Tokyo, Japon",665 €,25h 5m,07:30,16:35,2 escales,China Airlines
