,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies,PIB par habitant (€)
15,Bangladesh,2023-01-30,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",150 €,3h 15m,12:10,14:25,Direct,Royal Air Maroc,3570.0
16,Bangladesh,2023-01-30,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",154 €,5h 15m,13:45,18:00,1 escale,Plusieurs compagnies,3570.0
17,Bangladesh,2023-01-30,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",187 €,5h 40m,16:15,20:55,1 escale,Plusieurs compagnies,3570.0
18,Bangladesh,2023-01-30,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",141 €,8h 40m,13:55,21:35,1 escale,Plusieurs compagnies,3570.0
19,Bangladesh,2023-01-30,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",189 €,6h 35m,13:00,18:35,1 escale,Plusieurs compagnies,3570.0
20,Bangladesh,2023-01-30,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",172 €,7h 15m,11:00,17:15,1 escale,Plusieurs compagnies,3570.0
21,Bangladesh,2023-01-30,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",206 €,6h 10m,15:55,21:05,1 escale,Plusieurs compagnies,3570.0
22,Bangladesh,2023-01-30,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",224 €,6h 0m,14:10,19:10,1 escale,Plusieurs compagnies,3570.0
23,Bangladesh,2023-01-30,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",218 €,6h 10m,15:55,21:05,1 escale,Plusieurs compagnies,3570.0
24,Bangladesh,2023-01-30,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",134 €,10h 5m,16:45,01:50,2 escales,Plusieurs compagnies,3570.0
25,Bangladesh,2023-01-30,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",267 €,5h 25m,14:50,19:15,1 escale,Plusieurs compagnies,3570.0
26,Bangladesh,2023-01-30,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",199 €,7h 25m,07:55,14:20,1 escale,Plusieurs compagnies,3570.0
27,Bangladesh,2023-01-30,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",174 €,8h 40m,15:30,23:10,1 escale,Plusieurs compagnies,3570.0
28,Bangladesh,2023-01-30,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",165 €,9h 35m,12:20,20:55,2 escales,TAP Air Portugal,3570.0
29,Bangladesh,2023-01-30,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",165 €,9h 50m,08:15,17:05,1 escale,Plusieurs compagnies,3570.0
30,Bangladesh,2023-01-30,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",459 €,13h 25m,22:40,13:05,1 escale,Ethiopian Airlines,3570.0
31,Bangladesh,2023-01-30,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",491 €,14h 15m,17:40,08:55,1 escale,Air France,3570.0
32,Bangladesh,2023-01-30,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",491 €,15h 10m,16:45,08:55,1 escale,Air France,3570.0
33,Bangladesh,2023-01-30,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",564 €,13h 15m,20:05,10:20,1 escale,Swiss,3570.0
34,Bangladesh,2023-01-30,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",496 €,15h 10m,06:00,22:10,1 escale,KLM,3570.0
35,Bangladesh,2023-01-30,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",560 €,13h 55m,18:40,09:35,1 escale,Lufthansa,3570.0
36,Bangladesh,2023-01-30,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",490 €,16h 35m,13:45,07:20,1 escale,Plusieurs compagnies,3570.0
37,Bangladesh,2023-01-30,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",578 €,15h 30m,17:05,09:35,2 escales,Lufthansa,3570.0
38,Bangladesh,2023-01-30,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",539 €,17h 0m,15:40,09:40,1 escale,Qatar Airways,3570.0
39,Bangladesh,2023-01-30,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",588 €,15h 35m,17:00,09:35,2 escales,Plusieurs compagnies,3570.0
40,Bangladesh,2023-01-30,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",539 €,17h 15m,09:45,04:00,1 escale,Qatar Airways,3570.0
41,Bangladesh,2023-01-30,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",588 €,16h 35m,16:00,09:35,2 escales,Plusieurs compagnies,3570.0
42,Bangladesh,2023-01-30,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",627 €,15h 35m,17:00,09:35,2 escales,Plusieurs compagnies,3570.0
43,Bangladesh,2023-01-30,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",490 €,20h 15m,10:05,07:20,1 escale,Plusieurs compagnies,3570.0
44,Bangladesh,2023-01-30,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",520 €,19h 10m,12:45,08:55,2 escales,KLM,3570.0
45,Bangladesh,2023-01-30,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",24 €,2h 0m,09:50,10:50,Direct,Ryanair,3570.0
