,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies,Pays,PIB par habitant ($)
53,Cambodge,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",155 €,9h 35m,12:20,20:55,2 escales,TAP Air Portugal,Cambodge,4000
54,Cambodge,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",85 €,18h 5m,16:45,09:50,1 escale,TAP Air Portugal,Cambodge,4000
55,Cambodge,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",65 €,24h 0m,16:45,15:45,1 escale,TAP Air Portugal,Cambodge,4000
56,Cambodge,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",160 €,10h 5m,16:45,01:50,2 escales,Plusieurs compagnies,Cambodge,4000
57,Cambodge,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",164 €,9h 55m,08:20,17:15,1 escale,Plusieurs compagnies,Cambodge,4000
58,Cambodge,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",222 €,7h 35m,17:05,23:40,1 escale,Plusieurs compagnies,Cambodge,4000
59,Cambodge,30/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",205 €,8h 40m,15:30,23:10,1 escale,Plusieurs compagnies,Cambodge,4000
60,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",458 €,13h 25m,22:40,13:05,1 escale,Ethiopian Airlines,Cambodge,4000
61,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",492 €,15h 10m,06:00,22:10,1 escale,KLM,Cambodge,4000
62,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",564 €,13h 15m,20:05,10:20,1 escale,Swiss,Cambodge,4000
63,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",470 €,16h 35m,13:45,07:20,1 escale,Plusieurs compagnies,Cambodge,4000
64,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",564 €,13h 55m,18:40,09:35,1 escale,Lufthansa,Cambodge,4000
65,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",573 €,15h 30m,17:05,09:35,2 escales,Lufthansa,Cambodge,4000
66,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",534 €,17h 0m,15:40,09:40,1 escale,Qatar Airways,Cambodge,4000
67,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",583 €,15h 35m,17:00,09:35,2 escales,Plusieurs compagnies,Cambodge,4000
68,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",534 €,17h 15m,09:45,04:00,1 escale,Qatar Airways,Cambodge,4000
69,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",470 €,20h 15m,10:05,07:20,1 escale,Plusieurs compagnies,Cambodge,4000
70,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",583 €,16h 35m,16:00,09:35,2 escales,Plusieurs compagnies,Cambodge,4000
71,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",644 €,15h 35m,17:00,09:35,2 escales,Plusieurs compagnies,Cambodge,4000
72,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",487 €,20h 50m,13:05,10:55,2 escales,Plusieurs compagnies,Cambodge,4000
73,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",583 €,17h 35m,15:00,09:35,2 escales,Plusieurs compagnies,Cambodge,4000
74,Cambodge,30/01/2023,"Aéroport Léonard de Vinci de Rome-Fiumicino, Rome, Italie","Aéroport international OR Tambo, Johannesbourg, Afrique du sud",499 €,20h 50m,13:05,10:55,2 escales,Plusieurs compagnies,Cambodge,4000
75,Cambodge,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",339 €,12h 15m,22:45,18:00,1 escale,TAP Air Portugal,Cambodge,4000
76,Cambodge,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",310 €,15h 30m,21:45,20:15,1 escale,Plusieurs compagnies,Cambodge,4000
77,Cambodge,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",359 €,14h 45m,21:45,19:30,1 escale,Plusieurs compagnies,Cambodge,4000
78,Cambodge,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",340 €,17h 20m,17:40,18:00,1 escale,TAP Air Portugal,Cambodge,4000
79,Cambodge,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",401 €,15h 45m,22:45,21:30,2 escales,TAP Air Portugal,Cambodge,4000
80,Cambodge,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",472 €,14h 0m,23:15,20:15,1 escale,Plusieurs compagnies,Cambodge,4000
81,Cambodge,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",606 €,11h 0m,20:05,14:05,1 escale,Air Canada,Cambodge,4000
82,Cambodge,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",607 €,11h 0m,20:05,14:05,1 escale,Lufthansa,Cambodge,4000
83,Cambodge,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",607 €,11h 0m,20:05,14:05,1 escale,Plusieurs compagnies,Cambodge,4000
84,Cambodge,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",490 €,13h 50m,18:25,15:15,1 escale,Plusieurs compagnies,Cambodge,4000
85,Cambodge,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",398 €,17h 5m,17:40,17:45,2 escales,TAP Air Portugal,Cambodge,4000
86,Cambodge,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",520 €,13h 15m,23:15,19:30,1 escale,Plusieurs compagnies,Cambodge,4000
87,Cambodge,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",436 €,16h 20m,22:45,22:05,2 escales,TAP Air Portugal,Cambodge,4000
88,Cambodge,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",439 €,16h 35m,21:45,21:20,2 escales,Plusieurs compagnies,Cambodge,4000
89,Cambodge,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",603 €,12h 5m,18:55,14:00,1 escale,Air France,Cambodge,4000
90,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",10 €,2h 0m,09:50,10:50,Direct,Ryanair,Cambodge,4000
